"ID" "EV" "WMLR" "WEV" "BWMLR" "BWEV" "CPN" "TCS" "ECI" "LIT" "AILI" "TILI" "MILI" "II"
"99" "GS399" 0.198025551684088 0.857142857142857 6.56666666666667 0.714285714285714 30.3333333333333 4 11 2.75 4 14.5 29 27 7.75
"100" "GS246" 0.235191637630662 0.714285714285714 4.7 0.571428571428571 19 6 14 2.33333333333333 8 7.33333333333333 22 16 4.5
"101" "GS092" 0.107433217189315 NA 0.566666666666667 NA 2.33333333333333 2 4 2 4 9.25 37 22 18.5
"102" "GS347" 0.172473867595819 1 7.9 0.642857142857143 27 1 8 8 2 32 32 32 NA
"103" "GS168" 0.125435540069686 0.428571428571429 2.4 0.428571428571429 12 2 5 2.5 4 17 34 32 18
"104" "GS144" 0.185830429732869 1 8.26666666666667 0.714285714285714 33.3333333333333 1 8 8 3 30 30 30 NA
"105" "GS893" 0.172473867595819 1 1.1 0.857142857142857 3 5 32 6.4 6 2.5 5 3 1.8
"106" "GS688" 0.255516840882695 1 9.86666666666667 0.857142857142857 41.3333333333333 2 21 10.5 3 18 18 18 10
"107" "GS748" 0.250871080139373 0.857142857142857 5.2 0.785714285714286 19 7 23 3.28571428571429 9 5.5 11 9 2.57142857142857
"108" "GS281" 0.198025551684088 0.857142857142857 6.56666666666667 0.714285714285714 30.3333333333333 2 10 5 4 14.5 29 27 15.5
"109" "GS027" 0.250871080139373 0.857142857142857 3.2 0.785714285714286 7 7 20 2.85714285714286 11 3.33333333333333 10 6 2.57142857142857
"110" "GS926" 0.185830429732869 0.857142857142857 1.06666666666667 0.857142857142857 5.33333333333333 6 27 4.5 10 0 0 0 1.66666666666667
"111" "GS757" 0.241579558652729 0.857142857142857 5.06666666666667 0.785714285714286 16.3333333333333 6 24 4 8 9 9 9 2.66666666666667
"112" "GS817" 0.255516840882695 0.857142857142857 5.86666666666667 0.857142857142857 25.3333333333333 5 22 4.4 5 6 18 11 4
"113" "GS507" 0.157955865272938 0.857142857142857 5.86666666666667 0.571428571428571 21.3333333333333 2 7 3.5 3 32 32 32 17
"114" "GS395" 0.241579558652729 0.857142857142857 5.06666666666667 0.785714285714286 16.3333333333333 5 23 4.6 8 9 9 9 3.2
"115" "GS764" 0.235191637630662 0.857142857142857 5.5 0.857142857142857 19 5 25 5 7 5 10 8 3
"116" "GS736" 0.253774680603949 0.857142857142857 8.16666666666667 0.857142857142857 36.3333333333333 4 17 4.25 6 18 18 18 5.75
"117" "GS702" 0.25609756097561 1 9.1 0.785714285714286 37 4 21 5.25 5 17 17 17 5.25
"118" "GS827" 0.235191637630662 1 9.9 1 49 2 26 13 3 13 13 13 7.5
"119" "GS549" 0.198025551684088 1 6.56666666666667 0.928571428571429 14.3333333333333 3 30 10 4 8 8 8 3.66666666666667
