"ID" "EV" "WMLR" "WEV" "BWMLR" "BWEV" "CPN" "TCS" "ECI" "LIT" "AILI" "TILI" "MILI" "II"
"137" "GS766" 0.21777950310559 1 2.26877470355731 0.928571428571429 5.21818181818182 19 96 5.05263157894737 33 2.5 30 5 2.68421052631579
"138" "GS545" 0.244487577639752 1 3.8102766798419 0.785714285714286 12.8 25 87 3.48 32 3.91666666666667 47 24 2.68
"139" "GS614" 0.226319875776398 1 1.97628458498024 0.928571428571429 6.36363636363636 24 92 3.83333333333333 38 2.88888888888889 26 7 2.29166666666667
"140" "GS937" 0.196972049689441 1 3.02766798418972 1 10.4181818181818 21 114 5.42857142857143 25 4 24 12 2.04761904761905
"141" "GS879" 0.21304347826087 0.857142857142857 1.02766798418972 0.857142857142857 1.61818181818182 27 105 3.88888888888889 34 2.5 25 5 1.81481481481481
"142" "GS259" 0.249922360248447 0.857142857142857 2.99604743083004 0.857142857142857 11.2545454545455 22 70 3.18181818181818 39 3.33333333333333 50 18 3.36363636363636
"143" "GS083" 0.251552795031056 1 3.53359683794466 0.785714285714286 11.4 18 64 3.55555555555556 35 3.875 62 19 4.5
"144" "GS255" 0.244487577639752 1 4.8102766798419 0.857142857142857 18.2909090909091 22 86 3.90909090909091 31 5.5 44 27 3.04545454545455
"145" "GS080" 0.250388198757764 1 3.11067193675889 0.857142857142857 9.67272727272727 19 60 3.15789473684211 34 3.36363636363636 74 20 4.52631578947368
"146" "GS249" 0.250776397515528 0.857142857142857 4.58498023715415 0.785714285714286 16.8545454545455 23 74 3.21739130434783 34 7 49 37 3.30434782608696
"147" "GS317" 0.249378881987578 1 3.78656126482213 0.857142857142857 15.6727272727273 25 75 3 38 4.88888888888889 44 28 2.92
"148" "GS806" 0.21777950310559 1 3.45059288537549 0.928571428571429 11.6545454545455 24 105 4.375 30 3.625 29 15 2.125
"149" "GS041" 0.246428571428571 0.857142857142857 4.36363636363636 0.785714285714286 16.8 18 60 3.33333333333333 28 5 80 35 5.11111111111111
"150" "GS866" 0.207996894409938 1 4.13438735177866 0.928571428571429 13.6181818181818 17 107 6.29411764705882 24 4.28571428571429 30 18 2.76470588235294
"151" "GS133" 0.226319875776398 0.857142857142857 1.88537549407115 0.857142857142857 4.09090909090909 24 92 3.83333333333333 38 2.7 27 8 2.29166666666667
"152" "GS874" 0.202639751552795 1 1.77075098814229 0.857142857142857 3.89090909090909 26 105 4.03846153846154 37 2.6 13 5 1.73076923076923
"153" "GS870" 0.205357142857143 1 2.45454545454545 0.928571428571429 8.09090909090909 23 110 4.78260869565217 29 3.42857142857143 24 11 2
"154" "GS848" 0.207996894409938 1 1.49802371541502 0.857142857142857 4.09090909090909 23 104 4.52173913043478 33 2.4 24 4 2.04347826086957
"155" "GS589" 0.238276397515528 1 3.31225296442688 0.785714285714286 8.96363636363636 23 88 3.82608695652174 35 4 36 17 2.69565217391304
"156" "GS917" 0.202639751552795 0.857142857142857 1.6798418972332 0.857142857142857 4.89090909090909 27 112 4.14814814814815 31 2.75 22 6 1.66666666666667
"157" "GS845" 0.21304347826087 1 3.39130434782609 1 11.8727272727273 22 108 4.90909090909091 26 4.28571428571429 30 17 2.22727272727273
"158" "GS037" 0.246428571428571 1 4.27272727272727 0.857142857142857 15.4 16 55 3.4375 31 5.06666666666667 76 21 5.75
"159" "GS816" 0.215450310559006 1 5.60474308300395 1 21.8545454545455 16 107 6.6875 20 7 35 27 3.125
"160" "GS872" 0.21304347826087 1 4.48221343873518 1 14.1636363636364 17 109 6.41176470588235 20 5.14285714285714 36 13 2.88235294117647
"161" "GS784" 0.202639751552795 1 2.86166007905138 0.928571428571429 10.5636363636364 21 110 5.23809523809524 27 4 24 12 2.14285714285714
"162" "GS150" 0.251475155279503 0.857142857142857 2.71146245059289 0.785714285714286 10.0181818181818 22 68 3.09090909090909 37 3.33333333333333 60 8 3.59090909090909
"163" "GS927" 0.202639751552795 1 2.04347826086957 0.857142857142857 3.16363636363636 23 108 4.69565217391304 31 2.4 24 5 1.95652173913043
"164" "GS448" 0.244487577639752 0.857142857142857 3.08300395256917 0.785714285714286 10.0909090909091 27 88 3.25925925925926 33 3.83333333333333 46 18 2.48148148148148
"165" "GS487" 0.236801242236025 1 3.41897233201581 0.857142857142857 11.5636363636364 22 88 4 34 3.7 37 15 2.77272727272727
"166" "GS366" 0.250388198757764 1 5.74703557312253 1 23.0727272727273 20 80 4 26 NA 56 32 3.75
"167" "GS719" 0.220031055900621 1 2.65612648221344 0.857142857142857 9.67272727272727 28 105 3.75 33 3.71428571428571 26 12 1.85714285714286
"168" "GS540" 0.245496894409938 0.857142857142857 2.86166007905138 0.714285714285714 8.49090909090909 26 86 3.30769230769231 34 3.42857142857143 48 20 2.61538461538462
"169" "GS458" 0.245496894409938 1 3.22529644268775 0.857142857142857 11.0909090909091 20 81 4.05 33 3.1875 51 18 3.4
"170" "GS379" 0.248757763975155 0.857142857142857 2.84584980237154 0.785714285714286 11.0545454545455 25 75 3 39 3.75 45 23 2.88
"171" "GS638" 0.215450310559006 0.857142857142857 0.786561264822134 0.857142857142857 2.25454545454545 28 97 3.46428571428571 42 2 16 2 1.78571428571429
"172" "GS250" 0.250776397515528 0.857142857142857 4.85770750988142 0.785714285714286 14.8545454545455 16 63 3.9375 30 6.5 65 38 5.3125
"173" "GS792" 0.222204968944099 1 2.49407114624506 0.928571428571429 8.87272727272727 23 98 4.26086956521739 33 3 30 11 2.30434782608696
"174" "GS584" 0.242236024844721 1 5.33201581027668 0.857142857142857 18.9636363636364 20 89 4.45 27 5.75 46 32 3.25
"175" "GS592" 0.240993788819876 1 3.99604743083004 0.857142857142857 14.0545454545455 23 87 3.78260869565217 33 6.16666666666667 37 24 2.78260869565217
"176" "GS446" 0.242236024844721 0.857142857142857 3.05928853754941 0.857142857142857 11.0181818181818 25 89 3.56 32 3.53846153846154 46 16 2.6
"177" "GS142" 0.250776397515528 0.857142857142857 4.22134387351779 0.714285714285714 16.8181818181818 20 67 3.35 30 4.92857142857143 69 34 4.25
"178" "GS101" 0.251086956521739 1 3.87351778656126 0.785714285714286 14.2545454545455 22 66 3 33 5.25 63 32 3.81818181818182
